Position	StartingPosition	StartingTime	Age	Category	Swim	Cycle	Run	Total
1	441	08:44:45	32	F	00:06:04	00:36:46	00:19:11	01:02:01
2	5	08:46:00	35	G	00:05:55	00:37:23	00:20:18	01:03:36
3	26	08:56:00	23	D	00:06:28	00:37:39	00:19:30	01:03:37
4	443	10:35:30	31	F			00:20:51	01:04:09
5	445	10:36:00	27	E	00:06:43	00:37:26	00:21:36	01:05:45
6	32	08:52:45	32	F	00:06:25	00:39:27	00:21:08	01:07:00
7	2	08:45:15	41	H	00:06:02	00:38:49	00:22:17	01:07:08
8	64	09:00:45	39	G	00:06:47	00:39:14	00:21:08	01:07:09
9	442	10:35:15	37	G	00:06:33	00:37:23	00:23:17	01:07:13
10	164	09:25:45	36	G	00:07:13	00:39:33	00:20:30	01:07:16
11	18	08:49:15	31	F	00:06:25	00:40:22	00:20:54	01:07:41
12	4	08:45:45	17	C	00:05:39	00:41:00	00:21:49	01:08:28
13	54	08:58:15	41	H	00:07:13	00:40:21	00:20:56	01:08:30
14	165	09:26:00	52	J	00:08:43	00:38:39	00:21:22	01:08:44
15	20	08:55:45	24	D	00:06:48	00:41:56	00:20:04	01:08:48
16	171	09:27:30	36	G	00:07:20	00:38:25	00:23:11	01:08:56
17	433	10:33:00	40	H			00:23:08	01:09:14
18	434	10:33:15	45	I	00:07:29	00:41:19	00:20:36	01:09:24
19	29	08:52:00	37	G	00:07:02	00:40:19	00:22:04	01:09:25
20	55	08:58:30	37	G	00:06:46	00:41:47	00:21:45	01:10:18
21	439	10:34:30	37	G	00:07:11	00:40:09	00:22:58	01:10:18
22	11	08:47:30	35	G	00:06:01	00:42:20	00:22:00	01:10:21
23	292	09:57:45	45	I	00:09:30	00:38:16	00:22:49	01:10:35
24	30	08:52:15	38	G	00:06:59	00:40:04	00:23:34	01:10:37
25	58	08:59:15	17	C	00:06:41	00:42:19	00:21:47	01:10:47
26	426	10:31:15	31	F	00:09:22	00:38:37	00:22:52	01:10:51
27	14	08:48:15	38	G	00:08:22	00:39:13	00:23:22	01:10:57
28	300	09:59:45	29	E	00:07:11	00:41:12	00:22:43	01:11:06
29	88	09:06:45	44	H	00:07:39	00:41:47	00:21:47	01:11:13
30	69	09:02:00	24	D	00:07:07	00:44:17	00:19:53	01:11:17
31	444	10:35:45	53	J	00:06:46	00:40:59	00:23:42	01:11:27
32	16	08:48:45	48	I	00:06:58	00:41:49	00:22:44	01:11:31
33	21	08:50:00	48	I	00:06:43	00:40:47	00:24:03	01:11:33
34	110	09:12:15	32	F	00:07:54	00:42:28	00:21:15	01:11:37
35	52	08:57:45	29	E	00:06:55	00:42:28	00:22:21	01:11:44
36	282	09:55:15	46	I			00:22:21	01:11:56
37	437	10:34:00	36	G	00:06:08	00:41:07	00:24:42	01:11:57
38	67	09:01:30	37	G	00:08:01	00:41:02	00:23:00	01:12:03
39	17	08:49:00	41	H	00:05:53	00:43:04	00:23:16	01:12:13
40	10	08:47:15	28	E	00:06:05	00:43:58	00:22:21	01:12:24
41	82	09:05:15	47	I	00:07:11	00:42:16	00:23:12	01:12:39
42	12	08:47:45	46	I	00:06:36	00:41:17	00:24:51	01:12:44
43	298	09:59:15	48	I	00:08:29	00:41:45	00:22:44	01:12:58
44	314	10:03:15	43	H	00:10:09 	00:39:45	00:23:07	01:13:01
45	37	08:54:00	46	I	00:06:59 	00:41:52	00:24:14	01:13:05
46	106	09:11:15	43	H	00:07:59 	00:40:24	00:24:58	01:13:21
47	200	09:34:45	30	F	00:10:19 	00:42:24	00:20:43	01:13:26
48	97	09:09:00	28	E	00:07:38 	00:43:33	00:22:18	01:13:29
49	247	09:46:30	32	F	00:08:01 	00:40:32	00:25:01	01:13:34
50	77	09:04:00	42	H	00:08:24 	00:43:04	00:22:46	01:14:14
51	35	08:53:30	45	I	00:07:05 	00:43:37	00:23:39	01:14:21
52	335	10:08:30	42	H	00:08:45 	00:46:15	00:19:21	01:14:21
53	72	09:02:45	43	H	00:07:50 	00:44:09	00:22:27	01:14:26
54	667	11:31:30	23	D	00:09:44 	00:40:21	00:24:24	01:14:29
55	36	08:53:45	51	J	00:07:56 	00:44:03	00:22:34	01:14:33
56	231	09:42:30	39	G	00:08:05 	00:44:23	00:22:15	01:14:43
57	94	09:08:15	28	E	00:07:03 	00:44:00	00:23:50	01:14:53
58	27	08:51:30	38	G	00:06:27 	00:45:26	00:23:01	01:14:54
59	70	09:02:15	38	G	00:07:37 	00:41:00	00:26:21	01:14:58
60	122	09:15:15	45	I	00:09:46 	00:42:22	00:23:16	01:15:24
61	23	08:50:30	16	A	00:06:28 	00:41:38	00:27:19	01:15:25
62	105	09:11:00	40	H	00:07:48 	00:41:31	00:26:12	01:15:31
63	41	08:55:00	52	J	00:08:20 	00:42:59	00:24:15	01:15:34
64	15	08:48:30	39	G	00:06:19 	00:45:16	00:24:01	01:15:36
65	147	09:21:30	29	E	00:06:34 	00:45:08	00:23:55	01:15:37
66	435	10:33:30	32	F	00:08:03 	00:43:36	00:23:58	01:15:37
67	89	09:07:00	43	H	00:07:29 	00:44:37	00:23:40	01:15:46
68	102	09:10:15	26	E	00:07:14 	00:46:03	00:22:33	01:15:50
69	297	09:59:00	41	H	00:09:18 	00:54:30	00:12:03	01:15:51
70	131	09:17:30	36	G	00:08:09 	00:41:45	00:26:10	01:16:04
71	115	09:13:30	38	G	00:08:49 	00:43:59	00:23:17	01:16:05
72	302	10:00:15	49	I	00:09:41 	00:42:40	00:23:45	01:16:06
73	175	09:28:30	52	J	00:08:40 	00:43:48	00:23:46	01:16:14
74	137	09:19:00	36	G	00:08:22 	00:43:53	00:24:03	01:16:18
75	190	09:32:15	55	K	00:09:48 	00:42:44	00:23:58	01:16:30
76	438	10:34:15	36	G			00:24:40	01:16:37
77	440	10:34:45	51	J			00:24:59	01:16:47
78	71	09:02:30	25	E	00:07:06 	00:47:34	00:22:08	01:16:48
79	449	10:37:00	24	D	00:08:07 	00:42:53	00:25:50	01:16:50
80	48	08:56:45	50	J	00:06:45 	00:43:46	00:26:24	01:16:55
81	156	09:23:45	50	J	00:08:45 	00:44:51	00:23:22	01:16:58
82	28	08:51:45	47	I	00:08:07 	00:44:27	00:24:35	01:17:09
83	86	09:06:15	43	H	00:08:06 	00:44:41	00:24:27	01:17:14
84	87	09:06:30	34	F	00:07:27 	00:45:25	00:24:32	01:17:24
85	209	09:37:00	33	F	00:07:46 	00:46:25	00:23:17	01:17:28
86	57	08:59:00	26	E	00:07:28 	00:46:36	00:23:27	01:17:31
87	138	09:19:15	37	G	00:07:21 	00:44:52	00:25:18	01:17:31
88	162	09:25:15	42	H	00:08:46 	00:44:42	00:24:07	01:17:35
89	375	10:18:30	28	E	00:08:23 	00:45:58	00:23:15	01:17:36
90	65	09:01:00	41	H	00:08:39 	00:43:33	00:25:25	01:17:37
91	233	09:43:00	16	A	00:08:10 	00:43:47	00:25:42	01:17:39
92	344	10:10:45	36	G	00:10:34 	00:43:12	00:23:57	01:17:43
93	53	08:58:00	22	D	00:06:43 	00:46:47	00:24:15	01:17:45
94	80	09:04:45	36	G	00:07:43 	00:44:22	00:25:41	01:17:46
95	101	09:10:00	32	F	00:07:12 	00:48:57	00:21:39	01:17:48
96	211	09:37:30	38	G	00:08:31 	00:46:14	00:23:07	01:17:52
97	121	09:15:00	38	G	00:07:56 	00:48:34	00:21:25	01:17:55
98	427	10:31:30	45	I	00:09:42 	00:52:46	00:15:28	01:17:56
99	132	09:17:45	39	G	00:07:40 	00:46:21	00:24:03	01:18:04
100	316	10:03:45	0		00:09:14 	00:48:07	00:21:02	01:18:23
101	90	09:07:15	38	G	00:07:48 	00:45:21	00:25:16	01:18:25
102	331	10:07:30	34	F	00:09:35 	00:44:02	00:24:57	01:18:34
103	123	09:15:30	51	J	00:09:12 	00:43:48	00:25:44	01:18:44
104	143	09:20:30	35	G	00:08:32 	00:43:11	00:27:01	01:18:44
105	191	09:32:30	35	G	00:09:36 	00:43:12	00:25:58	01:18:46
106	124	09:15:45	22	D	00:08:19 	00:46:44	00:23:50	01:18:53
107	96	09:08:45	37	G	00:07:47 	00:46:44	00:24:25	01:18:56
108	153	09:23:00	58	K	00:09:19 	00:42:03	00:27:47	01:19:09
109	199	09:34:30	36	G			00:23:24	01:19:11
110	62	09:00:15	46	I	00:07:25 	00:46:23	00:25:31	01:19:19
111	127	09:16:30	54	J	00:08:04 	00:45:43	00:25:38	01:19:25
112	133	09:18:00	35	G	00:07:34 	00:47:34	00:24:20	01:19:28
113	99	09:09:30	50	J	00:09:12 	00:44:56	00:25:20	01:19:28
114	179	09:29:30	44	H	00:08:44 	00:47:11	00:23:34	01:19:29
115	177	09:29:00	34	F	00:08:17 	00:47:11	00:24:10	01:19:38
116	107	09:11:30	48	I	00:08:18 	00:45:34	00:25:49	01:19:41
117	43	08:55:30	35	G	00:07:14 	00:45:17	00:27:17	01:19:48
118	150	09:22:15	43	H	00:07:54 	00:44:15	00:27:40	01:19:49
119	207	09:36:30	35	G	00:08:30 	00:48:13	00:23:08	01:19:51
120	197	09:34:00	37	G	00:08:35 	00:44:48	00:26:30	01:19:53
121	225	09:41:00	39	G	00:08:04 	00:44:26	00:27:26	01:19:56
122	217	09:39:00	32	F	00:08:28 	00:46:24	00:25:05	01:19:57
123	128	09:16:45	49	I	00:08:26 	00:44:57	00:26:35	01:19:58
124	63	09:00:30	47	I	00:06:23 	00:47:59	00:25:39	01:20:01
125	161	09:25:00	53	J	00:08:53 	00:46:20	00:24:48	01:20:01
126	74	09:03:15	57	K	00:07:48 	00:45:05	00:27:12	01:20:05
127	139	09:19:30	42	H	00:08:24 	00:44:17	00:27:43	01:20:24
128	47	08:56:30	44	H	00:07:33 	00:45:56	00:27:00	01:20:29
129	431	10:32:30	49	I	00:08:37 	00:45:17	00:26:39	01:20:33
130	326	10:06:15	49	I	00:09:48 	00:42:48	00:28:05	01:20:41
131	337	10:09:00	50	J	00:09:06 	00:44:16	00:27:22	01:20:44
132	246	09:46:15	43	H	00:09:17 	00:45:37	00:26:00	01:20:54
134	198	09:34:15	31	F	00:08:29 	00:46:08	00:26:22	01:20:59
133	25	08:51:00	41	H	00:06:36 	00:46:49	00:27:34	01:20:59
135	100	09:09:45	39	G	00:07:07 	00:47:37	00:26:23	01:21:07
136	140	09:19:45	40	H	00:08:05 	00:46:15	00:26:54	01:21:14
137	31	08:52:30	36	G	00:06:29 	00:46:22	00:28:27	01:21:18
138	252	09:47:45	46	I	00:08:23 	00:49:24	00:23:35	01:21:22
139	383	10:20:30	32	F	00:08:35 	00:46:22	00:26:29	01:21:26
140	176	09:28:45	32	F	00:08:05 	00:46:52	00:26:34	01:21:31
141	296	09:58:45	40	H	00:10:18 	00:45:51	00:25:30	01:21:39
142	327	10:06:30	34	F	00:09:40 	00:46:59	00:25:02	01:21:41
143	151	09:22:30	50	J	00:08:22 	00:47:50	00:25:31	01:21:43
144	235	09:43:30	50	J	00:08:46 	00:47:27	00:25:30	01:21:43
145	447	10:36:30	36	G	00:08:14 	00:44:36	00:28:54	01:21:44
146	303	10:00:30	27	E	00:09:30 	00:47:31	00:24:44	01:21:45
147	9	08:47:00	37	G	00:10:46 	00:47:07	00:23:53	01:21:46
148	286	09:56:15	43	H	00:09:04 	00:48:26	00:24:18	01:21:48
149	315	10:03:30	25	E	00:07:46 	00:47:37	00:26:26	01:21:49
150	201	09:35:00	44	H	00:07:59 	00:48:02	00:25:50	01:21:51
151	659	11:29:30	29	E	00:09:10 			01:21:53
152	50	08:57:15	46	I	00:07:41 	00:48:53	00:25:21	01:21:55
153	228	09:41:45	34	F	00:09:07 			01:21:57
154	66	09:01:15	42	H	00:07:11 	00:48:42 	00:26:05	01:21:58
155	40	08:54:45	54	J	01:47:22 	00:48:15 	00:22:56	01:22:03
156	295	09:58:30	46	I	00:08:38 	00:49:22 	00:24:09	01:22:09
157	95	09:08:30	44	H	00:07:04 	00:46:26 	00:28:48	01:22:18
158	114	09:13:15	16	A	00:08:46 	00:50:28 	00:23:04	01:22:18
159	215	09:38:30	45	I	00:09:31 	00:48:42 	00:24:10	01:22:23
160	224	09:40:45	32	F	00:08:04 			01:22:32
161	187	09:31:30	49	I	00:08:54 	00:45:03 	00:28:36	01:22:33
162	148	09:21:45	46	I	00:08:46 	00:46:36 	00:27:12	01:22:34
163	284	09:55:45	34	F	00:08:12 	00:50:11 	00:24:12	01:22:35
164	60	08:59:45	30	F	00:08:32 	00:48:20 	00:25:45	01:22:37
165	425	10:31:00	43	H	00:10:02 	00:45:24 	00:27:18	01:22:44
166	364	10:15:45	45	I			00:25:52	01:22:48
167	59	08:59:30	50	J	00:08:07 	00:50:08	00:24:35	01:22:50
168	279	09:54:30	38	G	00:08:53 	00:50:35	00:23:23	01:22:51
169	658	11:29:15	38	G	00:10:54 	00:44:53	00:27:08	01:22:55
170	83	09:05:30	46	I	00:06:51 	00:50:14	00:25:52	01:22:57
171	363	10:15:30	44	H	00:08:54 	00:48:20	00:25:46	01:23:00
172	117	09:14:00	27	E	00:10:58 	00:45:28	00:26:38	01:23:04
173	324	10:05:45	37	G	00:09:32 	00:48:09	00:25:27	01:23:08
174	373	10:18:00	47	I	00:09:04 	00:46:47	00:27:21	01:23:12
175	196	09:33:45	50	J	00:08:56 	00:55:59	00:18:23	01:23:18
176	273	09:53:00	37	G	00:08:07 	00:46:59	00:28:19	01:23:25
177	243	09:45:30	50	J	00:08:12 	00:49:37	00:25:40	01:23:29
178	325	10:06:00	42	H	00:09:03 	00:47:36	00:26:55	01:23:34
179	377	10:19:00	36	G	00:09:31 	00:51:31 	00:22:42	01:23:44
180	112	09:12:45	43	H	00:08:27 	00:46:10 	00:29:07	01:23:44
181	334	10:08:15	40	H	00:10:11 	00:44:49 	00:28:45	01:23:45
182	68	09:01:45	31	F	00:07:24 	00:52:44 	00:23:41	01:23:49
183	34	08:53:15	53	J	00:06:23 	00:48:05 	00:29:26	01:23:54
184	149	09:22:00	43	H	00:08:18 	00:47:53 	00:27:49	01:24:00
185	269	09:52:00	42	H	00:09:27 	00:48:33 	00:26:00	01:24:00
186	178	09:29:15	35	G	00:08:33 	00:47:19 	00:28:09	01:24:01
187	274	09:53:15	50	J	00:08:46 	00:48:33 	00:26:43	01:24:02
188	376	10:18:45	42	H	00:09:23 	00:44:17 	00:30:39	01:24:19
189	388	10:21:45	24	D	00:07:30 	00:46:59 	00:29:51	01:24:20
190	319	10:04:30	32	F	00:07:58 	00:48:54 	00:27:29	01:24:21
191	84	09:05:45	47	I	00:07:44 	00:50:40 	00:26:05	01:24:29
192	259	09:49:30	43	H	00:08:50 	00:47:51 	00:27:49	01:24:30
193	116	09:13:45	36	G	00:09:07 	00:45:32 	00:29:56	01:24:35
194	256	09:48:45	37	G	00:08:23 	00:48:50 	00:27:23	01:24:36
196	306	10:01:15	39	G	00:07:00 	00:48:13 	00:29:30	01:24:43
195	154	09:23:15	31	F	00:09:10 	00:49:07 	00:26:26	01:24:43
